trip_id,delay,timestamp,temperature,precipitation,rain,showers,snowfall
1989265,0,1784923860,25.5,0.0,0.0,0.0,0.0
1996018,7,1784921911,25.5,0.0,0.0,0.0,0.0
1996611,-177,1784921730,25.5,0.0,0.0,0.0,0.0
1996999,211,1784922991,25.5,0.0,0.0,0.0,0.0
1997268,0,1784925360,25.5,0.0,0.0,0.0,0.0
1985026,0,1784924400,25.5,0.0,0.0,0.0,0.0
1992609,-12,1784922768,25.5,0.0,0.0,0.0,0.0
1997368,0,1784924880,25.5,0.0,0.0,0.0,0.0
1989028,0,1784922660,25.5,0.0,0.0,0.0,0.0
1992946,109,1784921936,25.5,0.0,0.0,0.0,0.0
1984439,-32,1784921886,25.5,0.0,0.0,0.0,0.0
1996762,0,1784925480,25.5,0.0,0.0,0.0,0.0
1997395,0,1784923800,25.5,0.0,0.0,0.0,0.0
1996998,-450,1784921370,25.5,0.0,0.0,0.0,0.0
1984173,0,1784925060,25.5,0.0,0.0,0.0,0.0
1984899,0,1784925360,25.5,0.0,0.0,0.0,0.0
1985443,0,1784924100,25.5,0.0,0.0,0.0,0.0
1992903,-17,1784921922,25.5,0.0,0.0,0.0,0.0
1995570,0,1784924280,25.5,0.0,0.0,0.0,0.0
1995924,-38,1784921910,25.5,0.0,0.0,0.0,0.0
1993012,0,1784923260,25.5,0.0,0.0,0.0,0.0
1996239,0,1784921934,25.5,0.0,0.0,0.0,0.0
1984958,29,1784921935,25.5,0.0,0.0,0.0,0.0
1995419,-94,1784921846,25.5,0.0,0.0,0.0,0.0
1995634,0,1784924040,25.5,0.0,0.0,0.0,0.0
1989024,154,1784921925,25.5,0.0,0.0,0.0,0.0
1984694,7,1784921913,25.5,0.0,0.0,0.0,0.0
1996329,167,1784923487,25.5,0.0,0.0,0.0,0.0
1989151,0,1784922420,25.5,0.0,0.0,0.0,0.0
