parent_station,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,preferred,stop_url,stop_id,stop_desc,stop_name,location_type,platform_code,zone_id
,43.909727,1,2682,-79.453441,,1,,2682,,ROLLINGHILL RD / GLENIS GATE,0,,1
,43.907121,1,2683,-79.452108,,1,,2683,,ROLLINGHILL RD / GAMBLE RD,0,,1
,44.32131,1,5407,-79.370737,,1,,5407,,METRO RD / DALTON RD,0,,1
,44.020265,2,7511,-79.441011,,,,7511,,HARTWELL WAY / MAVRINAC BLVD,0,,1
,44.192072,1,6808,-79.46423,,1,,6808,LESLIE ST & RAVENSHOE RD,LESLIE ST STOP # 6808,0,,1
,44.156876,2,6809,-79.455103,,1,,6809,,LESLIE ST / HOLBORN RD,0,,1
,43.932861,1,6806,-79.509736,,1,,6806,,KING RD / STAN ROOTS ST,0,,1
,43.844961,1,5292,-79.415382,,1,,5292,,SILVER LINDEN DR / GRASSLANDS AV,0,,1
,43.828376,1,6804,-79.522827,,1,,6804,,CREDITSTONE RD / GRANITERIDGE RD,0,,1
,43.891913,2,6805,-79.520669,,1,,6805,,KIRBY RD / KEELE ST,0,,1
,44.212895,1,6802,-79.461788,,1,,6802,,GLENWOODS AV STOP # 6802,0,,1
,43.827681,2,6803,-79.522692,,1,,6803,,CREDITSTONE RD / GRANITERIDGE RD,0,,1
,44.243696,1,6800,-79.461566,,1,,6800,,CARRICK AV / CHARTWELL CRES,0,,1
,44.240686,1,6801,-79.460841,,1,,6801,,CARRICK AV STOP # 6801,0,,1
,43.853503,1,9744,-79.311311,,1,,9744,101 YMCA Blvd UNIVERSITY BLVD & YMCA BLVD,UNIVERSITY BLVD / YMCA BLVD,0,,1
,43.853091,1,9745,-79.311274,,1,,9745,101 YMCA Blvd UNIVERSITY BLVD & YMCA BLVD,UNIVERSITY BLVD / YMCA BLVD,0,,1
,44.312744,1,5404,-79.366539,,1,,5404,,DALTON RD / WOODRIVER BEND,0,,1
,43.853934,1,9740,-79.339783,,2,,9740,3575 HIGHWAY 7 & TOWN CENTRE BLVD,HIGHWAY 7 / TOWN CENTRE,0,,1
,43.853922,1,9741,-79.340128,,2,,9741,3575 HIGHWAY 7 & TOWN CENTRE BLVD,HIGHWAY 7 / TOWN CENTRE,0,,1
,43.848886,1,9742,-79.331141,,2,,9742,8133 ENTERPRISE BLVD & WARDEN AV,ENTERPRISE BLVD / WARDEN AV,0,,1
,43.848882,1,9743,-79.331565,,2,,9743,8213-8233 ENTERPRISE BLVD & WARDEN AV,ENTERPRISE BLVD / WARDEN AV,0,,1
,43.824736,1,3395,-79.404462,,1,,3395,,ROYAL ORCHARD BLVD / DORAL GATE,0,,1
,43.86215,1,9748,-79.303634,,1,,9748,8500 Kennedy Rd KENNEDY RD & HIGHWAY 7,KENNEDY RD / HWY 7,0,,1
,43.865302,1,9749,-79.292103,,1,,9749,4981 HIGHWAY 7 & BULLOCK DR,HWY 7 / BULLOCK,0,,1
,43.821181,1,3394,-79.624827,,1,,3394,,NAPA VALLEY AV / CASA VISTA DR,0,,1
,43.880748,1,3207,-79.374015,,1,,3207,,HILLMOUNT RD / MARKLAND ST,0,,1
,43.880705,1,3206,-79.373417,,1,,3206,,HILLMOUNT RD / MARKLAND ST,0,,1
,43.879652,2,3205,-79.376019,,1,,3205,,HILLMOUNT RD STOP # 3205,0,,1
,43.875692,2,3204,-79.374667,,1,,3204,,HILLMOUNT RD STOP # 3204,0,,1
,43.889548,1,3203,-79.362932,,1,,3203,,HAZELTON AV / CASTLEVIEW CRES,0,,1
,43.89187,1,3202,-79.36526,,1,,3202,,HAZELTON AV / WINTER CREEK CRES,0,,1
,44.048048,1,1997,-79.427388,,1,,1997,,LESLIE ST / MULOCK DR,0,,1
,43.876642,1,1624,-79.365701,,1,,1624,,HILLMOUNT RD / WOODBINE AV,0,,1
,44.053827,2,1999,-79.428779,,1,,1999,,LESLIE ST / CROWDER BLVD,0,,1
,44.051404,1,1998,-79.428145,,1,,1998,,LESLIE ST STOP # 1998,0,,1
,43.974219,1,5188,-79.233781,,1,,5188,,MAIN ST / CEMETERY LANE,0,,1
,43.868053,1,1628,-79.362975,,1,,1628,,WOODBINE AV / 16TH AV,0,,1
,43.875634,1,3209,-79.374135,,1,,3209,,HILLMOUNT RD STOP # 3209,0,,1
,43.879721,1,3208,-79.376179,,1,,3208,,HILLMOUNT RD STOP # 3208,0,,1
,43.829728,1,3399,-79.398411,,1,,3399,,WILLOWBROOK RD / TRIMBLE CRT,0,,1
,44.017005,2,7519,-79.438916,,,,7519,,MAVRINAC BLVD / COLLINGWOOD CT,0,,1
,44.064047,1,5058,-79.463042,,1,,5058,,MAIN ST / BEXHILL RD,0,,1
,44.015105,2,7518,-79.437156,,,,7518,,MAVRINAC BLVD / IVY JAY CR,0,,1
,43.887486,1,2860,-79.4184,,1,,2860,,BAYVIEW AV / TAYLOR MILLS DR S,0,,1
,43.885392,1,2861,-79.417865,,1,,2861,,BAYVIEW AV / CROSBY AV,0,,1
,43.882953,1,2862,-79.417259,,1,,2862,,BAYVIEW AV / CARTIER CRES,0,,1
,43.880167,1,2863,-79.416569,,1,,2863,,BAYVIEW AV / CENTRE ST,0,,1
,43.877896,1,2864,-79.416026,,1,,2864,,BAYVIEW AV / MARAMAK RD,0,,1
,43.875413,1,2865,-79.415424,,1,,2865,,BAYVIEW AV / MAJOR MACKENZIE DR,0,,1
,43.872415,1,2866,-79.414715,,1,,2866,,BAYVIEW AV / PALMER AV,0,,1
,43.869023,1,2867,-79.413927,,1,,2867,,BAYVIEW AV / WELDRICK RD,0,,1
,43.867023,1,2868,-79.413427,,1,,2868,,BAYVIEW AV / HILLSVIEW DR,0,,1
,43.862989,1,2869,-79.412405,,1,,2869,,BAYVIEW AV / ARDWOLD GATE,0,,1
,43.873782,1,4694,-79.437899,,1,,4694,,YONGE ST / ARNOLD CRES,0,,1
,43.999445,1,1199,-79.46832,,1,,1199,,WELLINGTON ST / YONGE ST,0,,1
,43.839717,1,1198,-79.378717,,1,,1198,,COMMERCE VALLEY DR STOP # 1198,0,,1
,43.816829,1,3348,-79.453808,,1,,3348,,NEW WESTMINSTER DR STOP # 3348,0,,1
,43.830191,1,3349,-79.61349,,1,,3349,,ISLINGTON AV / SPRING BERRY GATE,0,,1
,43.775481,1,7078,-79.335479,,1,,7078,,SHEPPARD AV / HERON'S HILL WAY,0,,4
,43.775868,1,7079,-79.342943,,1,,7079,,SHEPPARD AV / PARKWAY FOREST DR,0,,4
,43.813424,1,3342,-79.443439,,1,,3342,,ATKINSON AV / EDMUND SEAGER DR,0,,1
,43.84008,2,1190,-79.38353,,1,,1190,,COMMERCE VALLEY DR / SOUTH PARK RD,0,,1
,43.964791,1,5452,-79.243212,,1,,5452,,REEVES WAY BLVD / HOOVER PARK DR,0,,1
,43.83931,1,1192,-79.381316,,1,,1192,,COMMERCE VALLEY DR / LESLIE ST,0,,1
,43.966279,1,5454,-79.24096,,1,,5454,,HOOVER PARK DR / THICKETWOOD BLVD,0,,1
,43.833875,1,1194,-79.379788,,1,,1194,,LESLIE ST STOP # 1194,0,,1
,43.815277,1,3344,-79.443515,,1,,3344,,ATKINSON AV STOP # 3344,0,,1
,43.817619,1,3345,-79.444961,,1,,3345,,ATKINSON AV / FLAMINGO RD,0,,1
,44.001278,1,1759,-79.460502,,1,,1759,,WELLINGTON ST / BERCZY ST,0,,1
,44.002018,1,1758,-79.457317,,1,,1758,,WELLINGTON ST / INDUSTRIAL PKWY,0,,1
,44.003543,1,1757,-79.451138,,1,,1757,,JOHN WEST WAY / WELLINGTON ST,0,,1
,44.007526,1,1756,-79.449775,,1,,1756,,JOHN WEST WAY / MUNICIPAL DR,0,,1
,44.010099,1,1755,-79.450634,,1,,1755,,JOHN WEST WAY / EVELYN BUCK LANE,0,,1
,44.012308,1,1751,-79.447163,,1,,1751,,HOLLIDGE BLVD STOP # 1751,0,,1
,44.011154,1,1750,-79.450828,,1,,1750,,JOHN WEST WAY / HOLLIDGE BLVD,0,,1
,43.855794,1,4259,-79.433883,,1,,4259,,YONGE ST STOP # 4259,0,,1
,43.862826,1,4258,-79.435526,,1,,4258,,YONGE ST / YONGEHURST RD,0,,1
,43.832629,1,6974,-79.526454,,1,,6974,,RUTHERFORD RD STOP # 6974,0,,1
,43.845747,2,1174,-79.393373,,1,,1174,,VALLEYMEDE DR / RED OAK DR,0,,1
,43.906114,2,6972,-79.472561,,1,,6972,,BATHURST ST / COLLINS CRT,0,,1
,43.845397,2,1172,-79.396302,,1,,1172,,VALLEYMEDE DR / LEICESTER RD,0,,1
,43.8458,2,1170,-79.399216,,1,,1170,,VALLEYMEDE DR / CHALMERS RD,0,,1
,43.84581,1,1008,-79.424851,,1,,1008,,RED MAPLE RD / BANTRY AV,0,,1
,43.842451,1,4255,-79.420176,,1,,4255,,HIGH TECH RD / NAHANNI DR,0,,1
,43.808343,1,4254,-79.548641,,1,,4254,,LANGSTAFF RD / SILMAR DR,0,,1
,43.842623,2,4257,-79.416696,,1,,4257,,HIGH TECH RD / FERRIS ST,0,,1
